pair_id,donation_id,request_id,y,food_type,req_qty_value,req_qty_unit,off_qty_text,req_qty_g,off_qty_g,qty_ratio,qty_bucket,unit_compatible,distance_km,expiry_gap_days,donation_fresh_days_left,req_need_days_from_now,window_overlap_min,has_coords,created_at
eeb0d82d_deec8cc8,deec8cc8,eeb0d82d,1,Fresh Produce,6.6,kg,15.7 kg,6600.0,15700.0,2.378787878787879,balanced,1,5.746,1,3,2,36,1,2025-10-01T05:50:38.230668+00:00
18a266cb_0c9ab4a0,0c9ab4a0,18a266cb,1,Fresh Produce,11.1,kg,1936 grams,11100.0,1936.0,0.1744144144144144,too_small,1,42.044,0,3,3,91,1,2025-09-30T17:47:44.321273+00:00
7c2582d7_31c50842,31c50842,7c2582d7,1,Bakery,12.9,kg,20.8 kg,12900.0,20800.0,1.6124031007751938,balanced,1,20.924,-3,-1,2,14,1,2025-09-28T12:30:44.126358+00:00
a734b8f6_60504b0f,60504b0f,a734b8f6,1,Cooked Meals,2825.0,grams,8.1 kg,2825.0,8100.0,2.8672566371681416,balanced,1,27.093,5,6,1,113,1,2025-09-30T13:50:00.473648+00:00
4c532d8d_a4d62d53,a4d62d53,4c532d8d,0,Packaged / Canned,3048.0,grams,343 grams,3048.0,343.0,0.11253280839895013,too_small,1,17.787,-5,4,9,13,1,2025-09-28T20:16:35.976471+00:00
2179a0bc_4d50dc14,4d50dc14,2179a0bc,1,Packaged / Canned,3462.0,grams,16.7 kg,3462.0,16700.0,4.823801270941652,too_large,1,33.912,-1,1,2,42,1,2025-10-02T07:23:08.215593+00:00
9812206a_0ff9915d,0ff9915d,9812206a,1,Cooked Meals,19.4,kg,19.8 kg,19400.0,19800.0,1.0206185567010309,balanced,1,22.411,0,1,1,103,1,2025-10-03T16:26:45.791604+00:00
1a1a4c68_438a90c7,438a90c7,1a1a4c68,1,Beverage,18.8,kg,16.8 kg,18800.0,16800.0,0.8936170212765957,balanced,1,14.788,-7,0,7,85,1,2025-09-27T19:14:48.363044+00:00
c219fd2c_22264783,22264783,c219fd2c,1,Packaged / Canned,18.1,kg,19.8 kg,18100.0,19800.0,1.0939226519337018,balanced,1,9.163,-3,3,6,84,1,2025-10-04T10:35:22.139830+00:00
25cfe969_3724a6d7,3724a6d7,25cfe969,0,Frozen / Chilled,2.3,kg,6.5 kg,2300.0,6500.0,2.8260869565217392,balanced,1,25.231,-7,2,9,31,1,2025-09-28T19:09:18.413519+00:00
d3b5ee84_78b38f1a,78b38f1a,d3b5ee84,1,Fresh Produce,0.6,kg,4236 grams,600.0,4236.0,7.06,too_large,1,22.927,-5,2,7,40,1,2025-10-01T11:13:59.234062+00:00
9cdadd65_e1797ac3,e1797ac3,9cdadd65,1,Packaged / Canned,14.5,kg,2810 grams,14500.0,2810.0,0.19379310344827586,too_small,1,34.393,-1,4,5,30,1,2025-09-28T03:55:36.191324+00:00
17418b2c_256bf38d,256bf38d,17418b2c,0,Bakery,17.9,kg,10.5 kg,17900.0,10500.0,0.5865921787709497,small,1,14.659,2,2,0,97,1,2025-10-03T08:59:11.026933+00:00
bc4f4aeb_e8718434,e8718434,bc4f4aeb,1,Beverage,0.6,kg,18.5 kg,600.0,18500.0,10.0,too_large,1,41.462,2,5,3,92,1,2025-09-27T18:28:52.984453+00:00
ee54878f_fe2805e5,fe2805e5,ee54878f,1,Fresh Produce,3694.0,grams,16.2 kg,3694.0,16200.0,4.385489983757444,too_large,1,15.416,-9,0,9,96,1,2025-09-30T07:13:10.902460+00:00
965e7e64_ce0eb95e,ce0eb95e,965e7e64,0,Packaged / Canned,2.1,kg,24.0 kg,2100.0,24000.0,10.0,too_large,1,18.844,-1,-1,0,27,1,2025-10-01T23:51:51.637278+00:00
3e02a160_ce44ebfb,ce44ebfb,3e02a160,1,Packaged / Canned,15.5,kg,826 grams,15500.0,826.0,0.05329032258064516,too_small,1,9.131,-2,-1,1,80,1,2025-10-03T15:24:58.172550+00:00
b0e251eb_bb9326ac,bb9326ac,b0e251eb,0,Fresh Produce,15.6,kg,11.0 kg,15600.0,11000.0,0.7051282051282052,small,1,23.772,-7,1,8,55,1,2025-09-27T13:22:18.589364+00:00
59810405_9dd866ac,9dd866ac,59810405,1,Fresh Produce,19.3,kg,3636 grams,19300.0,3636.0,0.1883937823834197,too_small,1,33.249,-2,0,2,43,1,2025-10-01T01:25:48.362811+00:00
f19fae78_bdca567a,bdca567a,f19fae78,1,Cooked Meals,6.8,kg,7.3 kg,6800.0,7300.0,1.0735294117647058,balanced,1,21.856,-5,-1,4,62,1,2025-10-02T11:40:30.199595+00:00
af4a60bb_3943ca13,3943ca13,af4a60bb,1,Packaged / Canned,553.0,grams,8.9 kg,553.0,8900.0,10.0,too_large,1,6.052,4,6,2,95,1,2025-09-30T08:57:22.835151+00:00
6c0f9374_a8d82d49,a8d82d49,6c0f9374,1,Beverage,2822.0,grams,24.5 kg,2822.0,24500.0,8.681785967399009,too_large,1,11.952,4,5,1,81,1,2025-09-30T07:36:25.492435+00:00
fb175582_add9dbca,add9dbca,fb175582,1,Packaged / Canned,0.7,kg,2970 grams,700.0,2970.0,4.242857142857143,too_large,1,24.675,3,5,2,31,1,2025-09-27T16:27:14.678590+00:00
52070234_97dbf666,97dbf666,52070234,1,Cooked Meals,8.6,kg,14.9 kg,8600.0,14900.0,1.7325581395348837,balanced,1,30.076,-4,1,5,10,1,2025-10-01T18:45:15.022947+00:00
4455401f_273f9d41,273f9d41,4455401f,0,Fresh Produce,11.3,kg,17.8 kg,11300.0,17800.0,1.575221238938053,balanced,1,0.892,3,4,1,54,1,2025-10-01T03:42:44.585856+00:00
0a2a63d0_0d63e845,0d63e845,0a2a63d0,1,Cooked Meals,13.1,kg,20.7 kg,13100.0,20700.0,1.5801526717557253,balanced,1,37.386,-3,6,9,76,1,2025-10-03T06:46:57.550239+00:00
354a728f_c89c35ff,c89c35ff,354a728f,1,Cooked Meals,2991.0,grams,1.0 kg,2991.0,1000.0,0.3343363423604146,too_small,1,25.227,-2,4,6,74,1,2025-09-29T17:22:32.000694+00:00
b7847f48_07df751a,07df751a,b7847f48,1,Packaged / Canned,10.1,kg,17.5 kg,10100.0,17500.0,1.7326732673267327,balanced,1,39.05,0,0,0,51,1,2025-09-29T18:04:30.906602+00:00
975dadaf_923dce16,923dce16,975dadaf,0,Beverage,204.0,grams,3827 grams,204.0,3827.0,10.0,too_large,1,28.318,-4,4,8,77,1,2025-09-30T19:33:35.508600+00:00
46944254_c9b60c2a,c9b60c2a,46944254,1,Fresh Produce,6.6,kg,3.4 kg,6600.0,3400.0,0.5151515151515151,small,1,33.666,5,5,0,117,1,2025-09-28T13:18:05.496918+00:00
085d51dd_602c3803,602c3803,085d51dd,1,Beverage,17.6,kg,0.6 kg,17600.0,600.0,0.03409090909090909,too_small,1,23.426,-4,4,8,97,1,2025-10-01T12:56:50.475396+00:00
1293a97f_423b8ec7,423b8ec7,1293a97f,1,Beverage,18.7,kg,18.7 kg,18700.0,18700.0,1.0,balanced,1,21.235,-4,4,8,64,1,2025-10-01T18:19:06.883727+00:00
7fd95d1b_018a0461,018a0461,7fd95d1b,0,Beverage,2.5,kg,16.5 kg,2500.0,16500.0,6.6,too_large,1,10.192,-8,0,8,109,1,2025-10-04T08:04:45.425941+00:00
f3b46267_e2ad6924,e2ad6924,f3b46267,0,Beverage,6.7,kg,17.3 kg,6700.0,17300.0,2.582089552238806,balanced,1,22.688,-7,0,7,38,1,2025-10-04T04:37:35.877578+00:00
0fa6b759_f282cf80,f282cf80,0fa6b759,1,Cooked Meals,16.0,kg,4.9 kg,16000.0,4900.0,0.30625,too_small,1,23.84,-2,0,2,58,1,2025-09-30T17:25:18.265453+00:00
dc7b3975_bc023492,bc023492,dc7b3975,1,Bakery,18.0,kg,1935 grams,18000.0,1935.0,0.1075,too_small,1,11.874,2,6,4,89,1,2025-10-03T22:14:55.977378+00:00
0c27a5fd_c54d326d,c54d326d,0c27a5fd,0,Bakery,16.7,kg,4521 grams,16700.0,4521.0,0.2707185628742515,too_small,1,21.922,2,5,3,96,1,2025-09-28T23:54:04.789451+00:00
29fcb4c4_f6d3a6f4,f6d3a6f4,29fcb4c4,1,Frozen / Chilled,2787.0,grams,9.4 kg,2787.0,9400.0,3.372802296376032,too_large,1,27.358,-1,0,1,21,1,2025-10-04T04:02:04.881937+00:00
61b083f0_f0146d9a,f0146d9a,61b083f0,0,Bakery,3787.0,grams,1016 grams,3787.0,1016.0,0.26828624240823873,too_small,1,18.464,-3,6,9,1,1,2025-09-28T19:32:47.815321+00:00
40aa4f73_25ed5af9,25ed5af9,40aa4f73,1,Bakery,9.4,kg,6.2 kg,9400.0,6200.0,0.6595744680851063,small,1,4.394,-7,-1,6,17,1,2025-09-28T16:29:29.670887+00:00
0748f874_bdfbc146,bdfbc146,0748f874,0,Cooked Meals,1356.0,grams,23.8 kg,1356.0,23800.0,10.0,too_large,1,22.101,0,4,4,120,1,2025-10-03T11:51:58.038011+00:00
71cab829_9f357cdf,9f357cdf,71cab829,1,Bakery,7.7,kg,22.6 kg,7700.0,22600.0,2.935064935064935,balanced,1,29.97,-1,3,4,81,1,2025-10-03T17:57:57.977707+00:00
1817231c_cb34bf4e,cb34bf4e,1817231c,1,Beverage,392.0,grams,5.8 kg,392.0,5800.0,10.0,too_large,1,35.831,2,5,3,32,1,2025-10-03T00:10:59.322823+00:00
3ba3601a_457e90a9,457e90a9,3ba3601a,0,Fresh Produce,17.4,kg,1.8 kg,17400.0,1800.0,0.10344827586206896,too_small,1,5.443,3,4,1,78,1,2025-09-30T07:43:49.407413+00:00
c9bb9bef_cd338843,cd338843,c9bb9bef,0,Cooked Meals,18.2,kg,2672 grams,18200.0,2672.0,0.1468131868131868,too_small,1,21.345,-7,-1,6,74,1,2025-10-04T05:25:27.747893+00:00
dbd01403_8d21c8c8,8d21c8c8,dbd01403,1,Beverage,7.9,kg,16.5 kg,7900.0,16500.0,2.088607594936709,balanced,1,29.207,0,5,5,93,1,2025-10-01T10:23:03.102411+00:00
ca117d02_b8e3064e,b8e3064e,ca117d02,1,Cooked Meals,6.6,kg,740 grams,6600.0,740.0,0.11212121212121212,too_small,1,17.797,-3,-1,2,45,1,2025-10-01T02:58:50.437465+00:00
69605d61_89c6c34b,89c6c34b,69605d61,1,Frozen / Chilled,1807.0,grams,5.7 kg,1807.0,5700.0,3.154399557277255,too_large,1,10.728,-6,3,9,108,1,2025-10-02T06:09:58.561510+00:00
4340091c_67024a25,67024a25,4340091c,1,Beverage,3310.0,grams,4.9 kg,3310.0,4900.0,1.4803625377643506,balanced,1,28.535,-2,4,6,81,1,2025-09-27T22:34:17.476484+00:00
cc7958cb_f92f0204,f92f0204,cc7958cb,0,Cooked Meals,10.8,kg,3492 grams,10800.0,3492.0,0.3233333333333333,too_small,1,11.123,-4,-1,3,56,1,2025-10-02T06:18:09.374481+00:00
6a505c64_25d3d0b4,25d3d0b4,6a505c64,1,Packaged / Canned,15.2,kg,8.1 kg,15200.0,8100.0,0.5328947368421053,small,1,27.874,-1,0,1,15,1,2025-09-29T16:40:19.168799+00:00
fc01a622_7e2b72ad,7e2b72ad,fc01a622,0,Cooked Meals,8.9,kg,618 grams,8900.0,618.0,0.06943820224719101,too_small,1,17.756,4,5,1,53,1,2025-09-30T12:47:31.641948+00:00
9103a9b2_ad58a0b6,ad58a0b6,9103a9b2,1,Bakery,0.9,kg,21.2 kg,900.0,21200.0,10.0,too_large,1,12.52,-3,0,3,65,1,2025-09-28T14:52:38.383452+00:00
781332fe_40ccda07,40ccda07,781332fe,1,Frozen / Chilled,10.4,kg,4.1 kg,10400.0,4100.0,0.3942307692307692,too_small,1,5.804,-9,0,9,97,1,2025-09-28T17:04:27.541476+00:00
6596d151_1dc71dc4,1dc71dc4,6596d151,1,Beverage,18.5,kg,11.3 kg,18500.0,11300.0,0.6108108108108108,small,1,20.486,-3,2,5,47,1,2025-09-28T09:27:51.145780+00:00
c966278c_c6ec0996,c6ec0996,c966278c,0,Bakery,17.4,kg,4485 grams,17400.0,4485.0,0.25775862068965516,too_small,1,9.704,-9,-1,8,103,1,2025-10-01T04:55:19.644359+00:00
22500f61_df7ed865,df7ed865,22500f61,1,Bakery,520.0,grams,4.4 kg,520.0,4400.0,8.461538461538462,too_large,1,15.552,-5,1,6,12,1,2025-09-27T12:10:19.309181+00:00
d31fd6a2_3d545ab0,3d545ab0,d31fd6a2,1,Beverage,6.0,kg,16.8 kg,6000.0,16800.0,2.8,balanced,1,24.645,-1,6,7,82,1,2025-09-28T07:56:48.116064+00:00
a7b5c5b9_63d5b26a,63d5b26a,a7b5c5b9,0,Bakery,2746.0,grams,13.0 kg,2746.0,13000.0,4.734158776402039,too_large,1,26.764,-9,-1,8,64,1,2025-09-30T18:13:24.963807+00:00
1adf83f8_fba81709,fba81709,1adf83f8,1,Beverage,3557.0,grams,4.9 kg,3557.0,4900.0,1.3775653640708463,balanced,1,15.041,4,4,0,78,1,2025-10-03T12:38:29.195421+00:00
7795bbe1_1c565844,1c565844,7795bbe1,1,Bakery,3178.0,grams,23.7 kg,3178.0,23700.0,7.457520453115166,too_large,1,24.656,4,6,2,82,1,2025-09-28T22:53:00.535774+00:00
a6b5a722_6444db98,6444db98,a6b5a722,1,Packaged / Canned,2307.0,grams,22.7 kg,2307.0,22700.0,9.839618552232336,too_large,1,13.207,-1,0,1,64,1,2025-10-02T10:46:01.545777+00:00
f695fc0e_467e77e4,467e77e4,f695fc0e,0,Bakery,19.9,kg,4.1 kg,19900.0,4100.0,0.20603015075376885,too_small,1,28.07,-4,-1,3,2,1,2025-09-28T13:40:33.837933+00:00
b627dc91_974b9fe8,974b9fe8,b627dc91,0,Bakery,3.4,kg,1.7 kg,3400.0,1700.0,0.5,small,1,5.23,-8,1,9,30,1,2025-09-29T00:15:38.448462+00:00
7545e751_8a7a9356,8a7a9356,7545e751,1,Frozen / Chilled,8.9,kg,9.3 kg,8900.0,9300.0,1.0449438202247192,balanced,1,28.328,0,6,6,45,1,2025-09-29T19:02:35.893386+00:00
facf67bc_9ccd65e7,9ccd65e7,facf67bc,1,Cooked Meals,14.8,kg,8.8 kg,14800.0,8800.0,0.5945945945945946,small,1,7.128,-3,3,6,120,1,2025-10-02T02:47:40.402337+00:00
02f8de00_cac57308,cac57308,02f8de00,1,Packaged / Canned,4.4,kg,3349 grams,4400.0,3349.0,0.7611363636363636,small,1,17.354,-7,0,7,47,1,2025-10-02T06:33:53.762680+00:00
9c01c141_f6b7b4eb,f6b7b4eb,9c01c141,1,Packaged / Canned,3024.0,grams,20.0 kg,3024.0,20000.0,6.613756613756614,too_large,1,22.536,-8,0,8,41,1,2025-09-30T23:17:43.945270+00:00
e3cfa0db_480e487e,480e487e,e3cfa0db,1,Frozen / Chilled,9.2,kg,2244 grams,9200.0,2244.0,0.24391304347826087,too_small,1,23.198,-1,6,7,86,1,2025-10-01T07:32:23.638511+00:00
cb6c643d_6cc20d6e,6cc20d6e,cb6c643d,1,Fresh Produce,742.0,grams,9.9 kg,742.0,9900.0,10.0,too_large,1,37.434,-3,3,6,50,1,2025-10-03T23:21:44.918700+00:00
5619a7c5_c65e888a,c65e888a,5619a7c5,1,Bakery,5.4,kg,19.5 kg,5400.0,19500.0,3.611111111111111,too_large,1,14.755,3,4,1,22,1,2025-10-01T17:38:37.689232+00:00
d896e656_22b7d2be,22b7d2be,d896e656,0,Frozen / Chilled,2.2,kg,7.6 kg,2200.0,7600.0,3.4545454545454546,too_large,1,31.335,-6,0,6,101,1,2025-10-02T00:17:24.838422+00:00
1a4eb252_3a3514e7,3a3514e7,1a4eb252,1,Fresh Produce,10.1,kg,2.6 kg,10100.0,2600.0,0.25742574257425743,too_small,1,31.54,-3,0,3,112,1,2025-09-27T13:30:42.024698+00:00
f2c4225e_571fdf06,571fdf06,f2c4225e,1,Beverage,4.0,kg,8.0 kg,4000.0,8000.0,2.0,balanced,1,34.251,-9,0,9,70,1,2025-10-04T01:20:53.964989+00:00
67d5e5b3_4449f83e,4449f83e,67d5e5b3,1,Bakery,6.4,kg,15.8 kg,6400.0,15800.0,2.46875,balanced,1,22.576,1,6,5,73,1,2025-09-27T20:28:03.750417+00:00
74d0c3f4_b928f703,b928f703,74d0c3f4,1,Packaged / Canned,1.1,kg,4172 grams,1100.0,4172.0,3.792727272727273,too_large,1,24.612,-8,0,8,91,1,2025-10-02T07:54:21.137165+00:00
a5628ed8_4093f969,4093f969,a5628ed8,0,Bakery,17.3,kg,3.5 kg,17300.0,3500.0,0.2023121387283237,too_small,1,15.582,-7,2,9,59,1,2025-09-30T12:18:01.001395+00:00
ce8c2820_f0d37579,f0d37579,ce8c2820,1,Packaged / Canned,2090.0,grams,1.7 kg,2090.0,1700.0,0.8133971291866029,balanced,1,23.638,2,2,0,93,1,2025-10-02T18:12:54.974803+00:00
800f72d5_41381b59,41381b59,800f72d5,0,Bakery,1590.0,grams,11.5 kg,1590.0,11500.0,7.232704402515723,too_large,1,40.63,-2,2,4,71,1,2025-09-30T13:42:58.430660+00:00
84c3e155_319169fc,319169fc,84c3e155,1,Bakery,956.0,grams,3212 grams,956.0,3212.0,3.3598326359832638,too_large,1,13.374,-5,0,5,75,1,2025-10-03T11:38:08.058944+00:00
d8a0735e_89028e60,89028e60,d8a0735e,1,Bakery,10.4,kg,24.5 kg,10400.0,24500.0,2.355769230769231,balanced,1,29.243,-1,3,4,99,1,2025-10-04T07:51:45.626990+00:00
6efd20d4_0495e334,0495e334,6efd20d4,1,Beverage,14.6,kg,17.2 kg,14600.0,17200.0,1.178082191780822,balanced,1,34.675,-6,-1,5,99,1,2025-09-30T02:32:31.442511+00:00
f9f03c4b_b801fac8,b801fac8,f9f03c4b,1,Beverage,3516.0,grams,2974 grams,3516.0,2974.0,0.8458475540386803,balanced,1,27.789,-6,1,7,102,1,2025-10-02T23:49:27.394511+00:00
d9fa1e6d_c21b843a,c21b843a,d9fa1e6d,0,Frozen / Chilled,9.9,kg,4288 grams,9900.0,4288.0,0.43313131313131314,too_small,1,16.967,-5,4,9,69,1,2025-09-27T20:29:17.199259+00:00
98b7f7ec_c51c88f2,c51c88f2,98b7f7ec,1,Packaged / Canned,1699.0,grams,23.1 kg,1699.0,23100.0,10.0,too_large,1,9.2,0,3,3,94,1,2025-10-04T03:35:25.846442+00:00
779963ce_73e187a7,73e187a7,779963ce,0,Beverage,1.5,kg,3.0 kg,1500.0,3000.0,2.0,balanced,1,12.745,-5,4,9,41,1,2025-10-03T17:49:27.932047+00:00
d81ea2ae_c872dbfb,c872dbfb,d81ea2ae,0,Bakery,18.2,kg,1215 grams,18200.0,1215.0,0.06675824175824176,too_small,1,27.72,5,5,0,118,1,2025-09-29T09:10:26.085877+00:00
829ec1ad_4aa42a7c,4aa42a7c,829ec1ad,1,Bakery,235.0,grams,12.6 kg,235.0,12600.0,10.0,too_large,1,31.281,1,6,5,23,1,2025-10-02T10:51:04.770337+00:00
b7928395_268d4dac,268d4dac,b7928395,1,Cooked Meals,15.9,kg,3188 grams,15900.0,3188.0,0.20050314465408806,too_small,1,1.796,-6,-1,5,96,1,2025-09-28T10:49:30.251893+00:00
1a98ffed_7573ed02,7573ed02,1a98ffed,0,Bakery,1347.0,grams,11.9 kg,1347.0,11900.0,8.834446919079436,too_large,1,21.237,-7,0,7,47,1,2025-09-29T14:16:21.214190+00:00
0f8e4766_8b80cb35,8b80cb35,0f8e4766,1,Beverage,19.2,kg,12.0 kg,19200.0,12000.0,0.625,small,1,24.77,-2,2,4,72,1,2025-10-01T19:53:19.353244+00:00
c98eb045_dc7de6a5,dc7de6a5,c98eb045,1,Cooked Meals,11.2,kg,17.2 kg,11200.0,17200.0,1.5357142857142858,balanced,1,25.878,-1,4,5,71,1,2025-10-02T03:32:02.110372+00:00
1e2170e3_79f43e4a,79f43e4a,1e2170e3,0,Packaged / Canned,6.5,kg,8.9 kg,6500.0,8900.0,1.3692307692307693,balanced,1,14.478,-1,-1,0,98,1,2025-10-02T22:03:00.946193+00:00
20eb7902_819a7955,819a7955,20eb7902,1,Frozen / Chilled,2654.0,grams,17.2 kg,2654.0,17200.0,6.480783722682743,too_large,1,32.898,-1,3,4,28,1,2025-09-28T08:33:41.309122+00:00
356f6615_87d2650e,87d2650e,356f6615,0,Cooked Meals,3918.0,grams,9.0 kg,3918.0,9000.0,2.2970903522205206,balanced,1,36.918,-4,0,4,2,1,2025-10-01T18:56:21.249811+00:00
522e03dc_0cc627b7,0cc627b7,522e03dc,0,Fresh Produce,2.5,kg,11.3 kg,2500.0,11300.0,4.52,too_large,1,9.605,2,2,0,104,1,2025-10-04T02:28:48.218590+00:00
752e82ea_f188a784,f188a784,752e82ea,0,Bakery,17.6,kg,5302 grams,17600.0,5302.0,0.30125,too_small,1,2.374,-3,6,9,19,1,2025-10-02T12:25:54.566554+00:00
3ecb4995_ac23a0d1,ac23a0d1,3ecb4995,1,Bakery,15.2,kg,3461 grams,15200.0,3461.0,0.22769736842105262,too_small,1,21.228,2,6,4,86,1,2025-09-29T11:47:05.210557+00:00
b6f33d63_508324e0,508324e0,b6f33d63,0,Beverage,17.5,kg,22.7 kg,17500.0,22700.0,1.2971428571428572,balanced,1,45.699,-1,0,1,89,1,2025-09-30T12:46:14.889628+00:00
18608c19_0f1200ba,0f1200ba,18608c19,1,Beverage,8.2,kg,6.9 kg,8200.0,6900.0,0.8414634146341463,balanced,1,17.686,0,2,2,28,1,2025-10-01T04:19:39.378959+00:00
740499da_147bbabf,147bbabf,740499da,0,Frozen / Chilled,5.6,kg,14.5 kg,5600.0,14500.0,2.5892857142857144,balanced,1,37.518,-9,0,9,58,1,2025-10-03T09:03:09.238120+00:00
88de6ae1_19e88644,19e88644,88de6ae1,1,Fresh Produce,7.4,kg,3238 grams,7400.0,3238.0,0.4375675675675676,too_small,1,23.618,4,5,1,19,1,2025-09-28T05:14:39.991427+00:00
811d71ff_a6502a1e,a6502a1e,811d71ff,0,Cooked Meals,9.4,kg,0.7 kg,9400.0,700.0,0.07446808510638298,too_small,1,22.303,2,2,0,13,1,2025-09-28T01:18:55.579175+00:00
08d45708_a9867171,a9867171,08d45708,1,Cooked Meals,5.2,kg,10.4 kg,5200.0,10400.0,2.0,balanced,1,18.602,-3,3,6,11,1,2025-09-28T21:06:30.165355+00:00
2725092c_d54f5742,d54f5742,2725092c,1,Packaged / Canned,11.3,kg,8.6 kg,11300.0,8600.0,0.7610619469026548,small,1,25.232,6,6,0,87,1,2025-09-30T22:40:53.302844+00:00
8f4c05c6_6249e369,6249e369,8f4c05c6,1,Bakery,2341.0,grams,20.6 kg,2341.0,20600.0,8.799658265698419,too_large,1,2.305,5,5,0,49,1,2025-09-27T17:07:51.092962+00:00
a1aa7269_d8eea3aa,d8eea3aa,a1aa7269,1,Frozen / Chilled,19.8,kg,2.4 kg,19800.0,2400.0,0.12121212121212122,too_small,1,34.673,-4,3,7,29,1,2025-10-04T01:38:12.056957+00:00
d569ef7d_fdcabc56,fdcabc56,d569ef7d,1,Bakery,7.8,kg,4336 grams,7800.0,4336.0,0.5558974358974359,small,1,25.48,-2,-1,1,39,1,2025-09-29T00:56:00.812978+00:00
8b10088b_3b5ab767,3b5ab767,8b10088b,1,Packaged / Canned,5.8,kg,2.7 kg,5800.0,2700.0,0.46551724137931033,too_small,1,26.587,1,2,1,71,1,2025-09-30T13:27:40.906631+00:00
860a45d8_5b5a70b3,5b5a70b3,860a45d8,0,Fresh Produce,3.8,kg,7.3 kg,3800.0,7300.0,1.9210526315789473,balanced,1,13.911,-3,0,3,17,1,2025-09-30T23:48:46.298750+00:00
3dd1ff71_56dcc02a,56dcc02a,3dd1ff71,1,Bakery,8.2,kg,5185 grams,8200.0,5185.0,0.6323170731707317,small,1,24.479,-2,6,8,62,1,2025-10-01T08:42:00.836087+00:00
b9a6c3ff_0a946d96,0a946d96,b9a6c3ff,0,Beverage,1438.0,grams,13.9 kg,1438.0,13900.0,9.666203059805285,too_large,1,39.24,2,4,2,104,1,2025-09-27T22:04:13.445114+00:00
29d58548_9e1eb5d8,9e1eb5d8,29d58548,1,Packaged / Canned,3.2,kg,24.8 kg,3200.0,24800.0,7.75,too_large,1,25.485,-1,2,3,114,1,2025-10-01T11:34:19.871744+00:00
e09a96c1_8e9df7ba,8e9df7ba,e09a96c1,1,Beverage,18.3,kg,24.6 kg,18300.0,24600.0,1.3442622950819672,balanced,1,8.373,3,4,1,73,1,2025-10-03T06:42:46.138263+00:00
a18c7a25_e7b89111,e7b89111,a18c7a25,1,Fresh Produce,8.1,kg,7.7 kg,8100.0,7700.0,0.9506172839506173,balanced,1,23.668,-1,6,7,44,1,2025-10-02T00:42:11.382979+00:00
