pair_id,donation_id,request_id,y,food_type,req_qty_value,req_qty_unit,off_qty_text,req_qty_g,off_qty_g,qty_ratio,distance_km,expiry_gap_days,donation_fresh_days_left,req_need_days_from_now,created_at
b75ca5ee_dde04bf1,dde04bf1,b75ca5ee,1,Fresh Produce,13.6,kg,24.1 kg,13600.0,24100.0,1.7720588235294117,33.586,-1,4,5,2025-09-23T01:05:58.303697
a82c0bcf_a537394c,a537394c,a82c0bcf,1,Packaged / Canned,14.4,kg,3682 grams,14400.0,3682.0,0.25569444444444445,21.706,,0,0,2025-09-27T16:49:08.365554
6334b6b5_6daeb636,6daeb636,6334b6b5,1,Packaged / Canned,601.0,grams,13.3 kg,601.0,13300.0,10.0,11.166,-6,3,9,2025-09-23T11:06:38.007375
7b6f7c54_1607274b,1607274b,7b6f7c54,1,Fresh Produce,529.0,grams,12.6 kg,529.0,12600.0,10.0,11.193,-8,0,8,2025-09-24T03:24:09.660369
35b5bd17_31e475b0,31e475b0,35b5bd17,0,Beverage,525.0,grams,11.5 kg,525.0,11500.0,10.0,27.921,-8,-1,7,2025-09-23T13:54:57.746591
acfd098c_baeb527e,baeb527e,acfd098c,1,Frozen / Chilled,7.4,kg,13.6 kg,7400.0,13600.0,1.837837837837838,3.277,,4,4,2025-09-23T08:45:45.511502
f463eb06_954ea71f,954ea71f,f463eb06,1,Cooked Meals,1325.0,grams,3409 grams,1325.0,3409.0,2.5728301886792453,11.749,1,4,3,2025-09-27T12:40:20.900972
620d1d93_8fbf933b,8fbf933b,620d1d93,1,Fresh Produce,1159.0,grams,1.8 kg,1159.0,1800.0,1.553062985332183,20.04,-8,0,8,2025-09-24T23:19:29.955424
2dfbdeb0_b027ca02,b027ca02,2dfbdeb0,0,Fresh Produce,1645.0,grams,15.4 kg,1645.0,15400.0,9.361702127659575,35.614,-5,4,9,2025-09-25T09:53:41.990190
62c9509e_0da119d2,0da119d2,62c9509e,1,Cooked Meals,13.9,kg,6.2 kg,13900.0,6200.0,0.4460431654676259,24.106,-4,0,4,2025-09-26T10:26:30.203030
a81b59ab_171a1b5d,171a1b5d,a81b59ab,1,Bakery,471.0,grams,12.0 kg,471.0,12000.0,10.0,29.7,-1,0,1,2025-09-24T10:18:41.851660
10beeeb9_53618a21,53618a21,10beeeb9,1,Beverage,2.3,kg,3542 grams,2300.0,3542.0,1.54,13.558,-5,4,9,2025-09-21T18:12:22.734271
f43406f9_fe57f9db,fe57f9db,f43406f9,1,Cooked Meals,8.5,kg,23.7 kg,8500.0,23700.0,2.788235294117647,22.198,2,5,3,2025-09-25T12:46:55.324784
b9fb4faf_dfddd0e7,dfddd0e7,b9fb4faf,1,Cooked Meals,11.1,kg,1.8 kg,11100.0,1800.0,0.16216216216216217,4.89,-4,0,4,2025-09-23T02:51:21.455515
419a2cf1_ab9e831b,ab9e831b,419a2cf1,0,Cooked Meals,2.3,kg,18.1 kg,2300.0,18100.0,7.869565217391305,34.387,-7,2,9,2025-09-27T14:12:14.748119
aa914e0f_439ec1e8,439ec1e8,aa914e0f,1,Beverage,3.2,kg,0.6 kg,3200.0,600.0,0.1875,34.125,4,4,0,2025-09-26T00:50:21.728052
728c7c87_03764f8f,03764f8f,728c7c87,1,Beverage,18.7,kg,18.7 kg,18700.0,18700.0,1.0,21.235,-4,4,8,2025-09-25T17:35:57.505655
ab6fd8aa_438bd63f,438bd63f,ab6fd8aa,1,Beverage,1461.0,grams,10.5 kg,1461.0,10500.0,7.186858316221766,30.602,2,3,1,2025-09-22T00:59:03.148417
a520fa69_f3e56035,f3e56035,a520fa69,1,Frozen / Chilled,1644.0,grams,6.3 kg,1644.0,6300.0,3.832116788321168,34.491,1,4,3,2025-09-22T07:22:41.026165
d9421277_fdebd80f,fdebd80f,d9421277,1,Fresh Produce,18.1,kg,10.6 kg,18100.0,10600.0,0.585635359116022,16.205,4,4,0,2025-09-25T18:57:54.383992
8f78bc7a_6eb2dab7,6eb2dab7,8f78bc7a,0,Fresh Produce,5.5,kg,2.3 kg,5500.0,2300.0,0.41818181818181815,27.316,4,6,2,2025-09-22T02:32:06.815695
82cc4e4d_890c204c,890c204c,82cc4e4d,0,Packaged / Canned,7.9,kg,0.7 kg,7900.0,700.0,0.08860759493670886,27.665,2,5,3,2025-09-28T06:15:09.206303
16782553_c8c578e2,c8c578e2,16782553,1,Fresh Produce,12.6,kg,15.9 kg,12600.0,15900.0,1.2619047619047619,40.151,-7,-1,6,2025-09-22T13:05:51.986749
465edffa_9b5dff53,9b5dff53,465edffa,1,Fresh Produce,11.0,kg,5676 grams,11000.0,5676.0,0.516,6.295,-3,6,9,2025-09-22T14:25:08.434774
8eb38c72_3cf8c69c,3cf8c69c,8eb38c72,0,Packaged / Canned,3257.0,grams,18.9 kg,3257.0,18900.0,5.802886091495241,34.969,-3,0,3,2025-09-24T15:47:39.343047
e79a6a16_fe26061d,fe26061d,e79a6a16,1,Bakery,1041.0,grams,1.6 kg,1041.0,1600.0,1.536983669548511,28.913,-1,-1,0,2025-09-26T07:10:13.657533
bb26280a_1580ff5b,1580ff5b,bb26280a,0,Frozen / Chilled,1792.0,grams,23.5 kg,1792.0,23500.0,10.0,19.936,-7,0,7,2025-09-27T17:18:09.990415
f1abb16b_2c524945,2c524945,f1abb16b,1,Cooked Meals,4.2,kg,24.3 kg,4200.0,24300.0,5.785714285714286,37.322,-2,-1,1,2025-09-23T18:35:35.743313
94161bd5_fbdfcc5e,fbdfcc5e,94161bd5,1,Fresh Produce,3.4,kg,20.1 kg,3400.0,20100.0,5.911764705882353,23.543,-10,-1,9,2025-09-27T09:37:50.985595
6905fb62_bb5b4aee,bb5b4aee,6905fb62,0,Fresh Produce,10.8,kg,5.9 kg,10800.0,5900.0,0.5462962962962963,15.873,-4,3,7,2025-09-24T19:42:51.959331
2ea33bb0_298909c8,298909c8,2ea33bb0,1,Packaged / Canned,2.6,kg,7.2 kg,2600.0,7200.0,2.769230769230769,34.277,-4,3,7,2025-09-26T03:49:25.047510
deb639e5_4daf4087,4daf4087,deb639e5,1,Frozen / Chilled,13.3,kg,20.8 kg,13300.0,20800.0,1.5639097744360901,39.438,-7,1,8,2025-09-25T09:41:11.975373
04c276a5_a9d5b406,a9d5b406,04c276a5,1,Packaged / Canned,14.9,kg,10.6 kg,14900.0,10600.0,0.7114093959731543,21.682,-3,5,8,2025-09-24T11:35:30.812911
9374705a_887323bf,887323bf,9374705a,1,Beverage,13.3,kg,20.3 kg,13300.0,20300.0,1.5263157894736843,16.659,3,5,2,2025-09-25T20:11:17.352681
8ace184d_21f67616,21f67616,8ace184d,1,Frozen / Chilled,3701.0,grams,16.0 kg,3701.0,16000.0,4.3231559038097815,12.904,-4,-1,3,2025-09-23T19:30:16.240944
8b2bb78f_b4ee7ca2,b4ee7ca2,8b2bb78f,1,Beverage,17.7,kg,12.4 kg,17700.0,12400.0,0.7005649717514124,28.332,,1,1,2025-09-27T20:13:57.768242
996704c6_09af4832,09af4832,996704c6,0,Frozen / Chilled,4.8,kg,1878 grams,4800.0,1878.0,0.39125,17.763,-9,0,9,2025-09-21T19:07:26.268138
c77e0ac4_d022e585,d022e585,c77e0ac4,1,Bakery,17.3,kg,10.4 kg,17300.0,10400.0,0.6011560693641619,16.89,3,3,0,2025-09-22T09:06:14.139860
4ea2b4a7_7fbb49d6,7fbb49d6,4ea2b4a7,0,Bakery,17.0,kg,5.9 kg,17000.0,5900.0,0.34705882352941175,14.542,3,5,2,2025-09-25T15:26:58.577832
c23122bb_dbaf1691,dbaf1691,c23122bb,0,Frozen / Chilled,1097.0,grams,23.8 kg,1097.0,23800.0,10.0,6.809,2,3,1,2025-09-23T02:13:20.065346
6db0ba7c_39c59d34,39c59d34,6db0ba7c,1,Bakery,2583.0,grams,9.1 kg,2583.0,9100.0,3.5230352303523036,22.723,-2,-1,1,2025-09-26T07:03:52.476921
0f48e25e_9aaffad1,9aaffad1,0f48e25e,1,Beverage,15.9,kg,12.8 kg,15900.0,12800.0,0.8050314465408805,0.122,-2,6,8,2025-09-23T20:25:46.983522
27544061_b72ad2be,b72ad2be,27544061,0,Frozen / Chilled,9.1,kg,4137 grams,9100.0,4137.0,0.4546153846153846,10.473,-6,-1,5,2025-09-26T10:24:44.239747
617c6794_292515aa,292515aa,617c6794,1,Beverage,1466.0,grams,3.7 kg,1466.0,3700.0,2.52387448840382,10.342,-1,4,5,2025-09-21T15:21:55.428240
e5631085_56c20731,56c20731,e5631085,0,Frozen / Chilled,555.0,grams,19.3 kg,555.0,19300.0,10.0,19.019,-6,0,6,2025-09-26T06:02:56.076918
58869131_9afc17b7,9afc17b7,58869131,1,Beverage,7.1,kg,4892 grams,7100.0,4892.0,0.6890140845070423,7.948,-7,0,7,2025-09-27T06:40:51.162222
a7715e4a_2c6d8bb7,2c6d8bb7,a7715e4a,0,Packaged / Canned,5.2,kg,5909 grams,5200.0,5909.0,1.136346153846154,35.393,-7,2,9,2025-09-27T01:20:37.292714
dad10127_d4580747,d4580747,dad10127,1,Bakery,2.5,kg,13.1 kg,2500.0,13100.0,5.24,28.957,-3,5,8,2025-09-23T01:44:05.217133
aff15e24_a823f591,a823f591,aff15e24,0,Bakery,19.9,kg,4.1 kg,19900.0,4100.0,0.20603015075376885,28.07,-4,-1,3,2025-09-22T12:57:24.457346
7fe644d1_99232b1d,99232b1d,7fe644d1,0,Cooked Meals,16.8,kg,3.5 kg,16800.0,3500.0,0.20833333333333334,12.239,-5,0,5,2025-09-27T15:15:32.462969
da1d4f35_c8cc1bc6,c8cc1bc6,da1d4f35,1,Beverage,3.3,kg,13.3 kg,3300.0,13300.0,4.03030303030303,36.064,-3,1,4,2025-09-25T11:57:18.194511
f0d2fd0c_b8d455f6,b8d455f6,f0d2fd0c,1,Frozen / Chilled,15.9,kg,973 grams,15900.0,973.0,0.06119496855345912,7.056,-2,1,3,2025-09-23T00:19:34.245031
0553f958_8a9d5b89,8a9d5b89,0553f958,0,Fresh Produce,15.6,kg,8.1 kg,15600.0,8100.0,0.5192307692307693,35.355,-3,1,4,2025-09-27T00:25:38.920662
0abdadfe_1304aa56,1304aa56,0abdadfe,0,Frozen / Chilled,2.9,kg,5.1 kg,2900.0,5100.0,1.7586206896551724,10.587,1,4,3,2025-09-22T03:38:21.520144
067c7b63_889a603e,889a603e,067c7b63,1,Fresh Produce,6.8,kg,11.4 kg,6800.0,11400.0,1.6764705882352942,39.457,2,2,0,2025-09-24T04:41:52.716642
9aa9d959_816eb78b,816eb78b,9aa9d959,0,Frozen / Chilled,7.6,kg,11.2 kg,7600.0,11200.0,1.4736842105263157,27.424,-8,0,8,2025-09-27T09:57:05.254627
2449e6ac_085e3769,085e3769,2449e6ac,0,Cooked Meals,10.8,kg,13.2 kg,10800.0,13200.0,1.2222222222222223,28.702,3,6,3,2025-09-27T14:52:44.556202
8a7d589e_0e7c52e5,0e7c52e5,8a7d589e,1,Fresh Produce,17.1,kg,5922 grams,17100.0,5922.0,0.3463157894736842,14.725,,4,4,2025-09-27T19:11:22.436873
9c39cc26_d3a36c3b,d3a36c3b,9c39cc26,1,Fresh Produce,2133.0,grams,14.5 kg,2133.0,14500.0,6.797937177684013,13.636,1,2,1,2025-09-22T21:09:20.649916
39931b44_66fdeb3c,66fdeb3c,39931b44,1,Packaged / Canned,3328.0,grams,3.6 kg,3328.0,3600.0,1.0817307692307692,9.522,5,5,0,2025-09-25T06:20:33.702116
a07fbaf0_de95d180,de95d180,a07fbaf0,0,Beverage,3.7,kg,1653 grams,3700.0,1653.0,0.44675675675675675,25.448,,3,3,2025-09-21T19:51:59.504670
9b91292c_829dd598,829dd598,9b91292c,0,Fresh Produce,12.7,kg,23.7 kg,12700.0,23700.0,1.8661417322834646,21.536,-5,4,9,2025-09-28T03:01:03.962323
eb6a7a5f_98857301,98857301,eb6a7a5f,1,Fresh Produce,2802.0,grams,8.8 kg,2802.0,8800.0,3.140613847251963,24.59,-2,0,2,2025-09-25T08:05:04.870741
1d0d3b95_bcdb6486,bcdb6486,1d0d3b95,0,Cooked Meals,9.6,kg,2625 grams,9600.0,2625.0,0.2734375,29.063,4,6,2,2025-09-26T09:10:58.056487
e2f9038a_e9ee4c50,e9ee4c50,e2f9038a,1,Packaged / Canned,6.5,kg,1.7 kg,6500.0,1700.0,0.26153846153846155,38.206,,0,0,2025-09-21T15:32:06.202935
f0bac87c_1aa32300,1aa32300,f0bac87c,1,Packaged / Canned,8.3,kg,14.0 kg,8300.0,14000.0,1.6867469879518073,10.228,,5,5,2025-09-27T21:35:06.274849
e3a31b7a_e7ed1b32,e7ed1b32,e3a31b7a,1,Beverage,10.3,kg,22.4 kg,10300.0,22400.0,2.174757281553398,14.962,,0,0,2025-09-25T02:20:57.814934
b5d96b26_39d4cef2,39d4cef2,b5d96b26,1,Beverage,14.3,kg,20.0 kg,14300.0,20000.0,1.3986013986013985,38.147,2,4,2,2025-09-23T16:44:20.171428
5f7eff3f_31e894a2,31e894a2,5f7eff3f,1,Frozen / Chilled,9.9,kg,14.5 kg,9900.0,14500.0,1.4646464646464648,28.377,-1,4,5,2025-09-25T18:03:59.162193
f28ae737_ec7d5ae2,ec7d5ae2,f28ae737,0,Packaged / Canned,2996.0,grams,9.7 kg,2996.0,9700.0,3.237650200267023,22.799,6,6,0,2025-09-26T03:19:48.319175
72c8bdc8_2b4fe19c,2b4fe19c,72c8bdc8,1,Bakery,4.2,kg,4288 grams,4200.0,4288.0,1.020952380952381,26.021,2,4,2,2025-09-21T14:29:21.930029
b8b3ae3a_c276dbea,c276dbea,b8b3ae3a,0,Beverage,19.6,kg,658 grams,19600.0,658.0,0.03357142857142857,9.006,-2,6,8,2025-09-26T09:08:32.513671
468322da_98991ae7,98991ae7,468322da,1,Cooked Meals,11.9,kg,8.6 kg,11900.0,8600.0,0.7226890756302521,38.887,,2,2,2025-09-23T22:45:49.399598
6bccc97c_d12c7eb2,d12c7eb2,6bccc97c,1,Packaged / Canned,4.4,kg,6.2 kg,4400.0,6200.0,1.4090909090909092,35.263,-5,4,9,2025-09-22T01:24:18.004953
ca0ea01f_e3af62ca,e3af62ca,ca0ea01f,1,Bakery,235.0,grams,12.6 kg,235.0,12600.0,10.0,31.281,1,6,5,2025-09-26T10:07:55.390255
9cf4b490_2d91219f,2d91219f,9cf4b490,1,Fresh Produce,7.1,kg,4996 grams,7100.0,4996.0,0.7036619718309859,27.881,,2,2,2025-09-24T03:17:52.996200
5193d3bb_ab639df1,ab639df1,5193d3bb,0,Fresh Produce,5.7,kg,2.0 kg,5700.0,2000.0,0.3508771929824561,17.175,-3,0,3,2025-09-26T13:59:50.931983
07aa6678_2eaddc7e,2eaddc7e,07aa6678,1,Bakery,4.8,kg,14.0 kg,4800.0,14000.0,2.9166666666666665,21.807,-7,2,9,2025-09-21T11:48:49.078242
0841b63c_394dd2f9,394dd2f9,0841b63c,0,Cooked Meals,626.0,grams,13.2 kg,626.0,13200.0,10.0,33.034,-8,0,8,2025-09-24T15:46:46.213880
97bb220a_a9402f27,a9402f27,97bb220a,0,Packaged / Canned,11.4,kg,14.7 kg,11400.0,14700.0,1.2894736842105263,3.844,-7,-1,6,2025-09-26T15:11:22.551504
09200a7a_4077d1d8,4077d1d8,09200a7a,1,Frozen / Chilled,2654.0,grams,17.2 kg,2654.0,17200.0,6.480783722682743,32.898,-1,3,4,2025-09-22T07:50:31.929040
d60f677f_a141d10e,a141d10e,d60f677f,1,Fresh Produce,3073.0,grams,1635 grams,3073.0,1635.0,0.5320533680442564,19.356,-8,1,9,2025-09-25T10:41:05.645213
34fcb4f6_c41f54ea,c41f54ea,34fcb4f6,0,Cooked Meals,1.8,kg,10.4 kg,1800.0,10400.0,5.777777777777778,16.624,-5,0,5,2025-09-22T07:24:24.207319
1c7a5d34_3afa7f1f,3afa7f1f,1c7a5d34,0,Bakery,15.6,kg,7.9 kg,15600.0,7900.0,0.5064102564102564,12.206,-9,-1,8,2025-09-21T12:20:29.602469
9c2372ef_2372cb38,2372cb38,9c2372ef,1,Frozen / Chilled,15.8,kg,21.3 kg,15800.0,21300.0,1.3481012658227849,32.892,-3,0,3,2025-09-25T18:41:35.155587
174f6dce_3faca2bc,3faca2bc,174f6dce,1,Frozen / Chilled,9.3,kg,15.3 kg,9300.0,15300.0,1.6451612903225807,9.551,2,5,3,2025-09-28T01:16:48.924308
9cd20901_748d0a12,748d0a12,9cd20901,1,Cooked Meals,4.2,kg,5.5 kg,4200.0,5500.0,1.3095238095238095,4.042,-1,6,7,2025-09-22T00:18:44.181306
ea3e46bb_86534b42,86534b42,ea3e46bb,1,Packaged / Canned,16.2,kg,14.3 kg,16200.0,14300.0,0.8827160493827161,13.412,-7,0,7,2025-09-26T23:48:46.770884
353aafd9_7bc1d679,7bc1d679,353aafd9,1,Packaged / Canned,5.3,kg,3921 grams,5300.0,3921.0,0.739811320754717,34.341,-3,2,5,2025-09-23T01:41:37.771193
b3e87cd3_8e00e254,8e00e254,b3e87cd3,0,Frozen / Chilled,2190.0,grams,21.1 kg,2190.0,21100.0,9.634703196347031,19.652,-8,0,8,2025-09-28T01:47:16.771986
2ad70de6_b46bb6ea,b46bb6ea,2ad70de6,1,Packaged / Canned,0.8,kg,299 grams,800.0,299.0,0.37375,22.774,,5,5,2025-09-23T08:36:36.119557
7349b652_b4edd591,b4edd591,7349b652,1,Bakery,500.0,grams,21.3 kg,500.0,21300.0,10.0,40.116,-6,3,9,2025-09-23T12:48:09.753620
5abcd43d_3265c225,3265c225,5abcd43d,0,Fresh Produce,17.0,kg,1532 grams,17000.0,1532.0,0.09011764705882352,33.916,,6,6,2025-09-21T14:19:59.999435
bcab191c_bf5c63a3,bf5c63a3,bcab191c,0,Frozen / Chilled,18.6,kg,5587 grams,18600.0,5587.0,0.3003763440860215,6.372,-3,0,3,2025-09-23T03:33:34.775238
186a32d9_5d230122,5d230122,186a32d9,0,Frozen / Chilled,10.3,kg,15.5 kg,10300.0,15500.0,1.5048543689320388,20.538,-6,3,9,2025-09-22T13:02:27.845677
687fabac_c7c347e5,c7c347e5,687fabac,1,Packaged / Canned,13.8,kg,7.1 kg,13800.0,7100.0,0.5144927536231884,29.366,-5,1,6,2025-09-22T19:51:54.509485
7df19b3f_b9b67d4e,b9b67d4e,7df19b3f,1,Cooked Meals,9.3,kg,19.7 kg,9300.0,19700.0,2.118279569892473,18.204,,5,5,2025-09-25T22:28:50.917615
bf6feabc_b25db480,b25db480,bf6feabc,1,Fresh Produce,6.4,kg,2294 grams,6400.0,2294.0,0.3584375,15.603,2,6,4,2025-09-25T11:11:35.583507
c729de17_df9a784b,df9a784b,c729de17,0,Bakery,8.9,kg,1364 grams,8900.0,1364.0,0.15325842696629213,41.391,-8,0,8,2025-09-26T07:27:55.018427
e08a2489_6e45030b,6e45030b,e08a2489,1,Packaged / Canned,15.8,kg,14.0 kg,15800.0,14000.0,0.8860759493670886,41.179,3,6,3,2025-09-21T10:23:52.451519
9afd2957_f4d88e48,f4d88e48,9afd2957,1,Packaged / Canned,3.2,kg,24.8 kg,3200.0,24800.0,7.75,25.485,-1,2,3,2025-09-25T10:51:10.491346
63f91c14_e8fc3f80,e8fc3f80,63f91c14,1,Beverage,18.3,kg,24.6 kg,18300.0,24600.0,1.3442622950819672,8.373,3,4,1,2025-09-27T05:59:36.757865
3ade6558_1ec3c722,1ec3c722,3ade6558,1,Beverage,7.8,kg,7.7 kg,7800.0,7700.0,0.9871794871794872,16.977,2,6,4,2025-09-27T08:36:47.743437
a34c90d2_8a1eb92e,8a1eb92e,a34c90d2,1,Bakery,9.0,kg,8.9 kg,9000.0,8900.0,0.9888888888888889,33.711,-7,-1,6,2025-09-22T17:49:37.823953
ee4ff2ee_d8842772,d8842772,ee4ff2ee,0,Packaged / Canned,8.4,kg,2807 grams,8400.0,2807.0,0.33416666666666667,19.77,,1,1,2025-09-28T05:02:02.791079
b9c656f3_e78e3597,e78e3597,b9c656f3,1,Beverage,6.9,kg,10.0 kg,6900.0,10000.0,1.4492753623188406,21.28,-3,1,4,2025-09-24T17:16:56.234730
0f7109b3_0d3ef170,0d3ef170,0f7109b3,1,Beverage,3.1,kg,15.1 kg,3100.0,15100.0,4.870967741935484,24.616,2,3,1,2025-09-23T13:26:27.858171
2e64fff2_4265885c,4265885c,2e64fff2,1,Packaged / Canned,17.4,kg,12.6 kg,17400.0,12600.0,0.7241379310344828,30.17,-5,4,9,2025-09-25T17:26:08.841036
dd9c6ef1_4efce439,4efce439,dd9c6ef1,1,Fresh Produce,2349.0,grams,4975 grams,2349.0,4975.0,2.117922520221371,40.154,-6,1,7,2025-09-24T09:43:20.818775
70e2e370_58274a45,58274a45,70e2e370,0,Cooked Meals,7.3,kg,18.6 kg,7300.0,18600.0,2.547945205479452,37.28,-4,4,8,2025-09-22T23:37:56.256753
60b35d6e_57233ecb,57233ecb,60b35d6e,0,Beverage,6.8,kg,986 grams,6800.0,986.0,0.145,18.079,-3,4,7,2025-09-22T09:47:29.690778
f156a1ea_00ec07ce,00ec07ce,f156a1ea,0,Bakery,3093.0,grams,2.4 kg,3093.0,2400.0,0.7759456838021338,20.932,-1,5,6,2025-09-26T12:47:38.145018
962bff14_b09d96e3,b09d96e3,962bff14,1,Beverage,15.6,kg,4814 grams,15600.0,4814.0,0.3085897435897436,42.077,-6,1,7,2025-09-23T18:21:44.095762
8c394621_45bdfeff,45bdfeff,8c394621,0,Packaged / Canned,3597.0,grams,21.5 kg,3597.0,21500.0,5.977203224909647,5.716,-6,1,7,2025-09-22T13:22:20.800825
4bfce3b1_db35ec39,db35ec39,4bfce3b1,1,Bakery,7.5,kg,17.6 kg,7500.0,17600.0,2.3466666666666667,6.971,,0,0,2025-09-28T01:14:17.334652
7e8c2970_ef623b25,ef623b25,7e8c2970,0,Cooked Meals,7.2,kg,18.4 kg,7200.0,18400.0,2.5555555555555554,22.019,-2,-1,1,2025-09-25T01:41:05.172579
